Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Longitude,Latitude
4051655,Babelsberger Straße,6.81,10.17,19.16,mittel,13.3352084,52.4860063
4051656,Hildegardstraße,5.61,6.68,13.46,mittel,13.3262748,52.4817891
5010101,Hakenfelde Nord,6.64,11.47,28.98,mittel,0,0
5010102,Goltzstraße,8.48,13.51,41.47,mittel,13.2150671,52.5637528
5010103,Amorbacher Weg,6.36,8.12,20.26,mittel,13.2070808,52.5575122
5010204,Griesingerstraße,13.21,25.05,60.42,sehr niedrig,13.1555705,52.5656034
5010205,An der Tränke,2.85,3.73,11.91,hoch,13.147198,52.551654
5010206,Gütersloher Weg,11.78,19.19,47.28,niedrig,13.171654,52.5479306
5010207,Darbystraße,13.26,28.46,58.39,sehr niedrig,13.172063,52.5528091
5010208,Germersheimer Platz,12.7,22.91,58.71,sehr niedrig,13.187102137884068,52.544541800000005
5010209,An der Kappe,6.11,8.81,23.63,mittel,13.1788932,52.5409001
5010310,Eckschanze,11.15,20.93,51.53,niedrig,13.1978918,52.5517741
5010311,Eiswerder,11.61,24.02,56.09,niedrig,13.219156131881778,52.548986
5010312,Kurstraße,13.79,28.55,62.51,sehr niedrig,13.402477,52.5118675
5010313,Ackerstraße,12.17,20.16,51.09,niedrig,13.3905445,52.5352479
5010314,Carl-Schurz-Straße,10.75,19.39,47.62,mittel,13.200620454673643,52.5354428
5010339,Freiheit,10.98,8.26,15.0,mittel,13.5768876,52.4474283
5020415,Isenburger Weg,2.39,1.77,3.85,hoch,13.1355584,52.5424316
5020416,Am Heideberg,5.53,7.72,21.09,mittel,13.1472687,52.5401238
5020417,Staakener Straße,5.17,5.62,13.77,mittel,13.1823627,52.5359809
5020418,Spandauer Straße,7.03,8.16,14.18,mittel,13.4041115,52.520434
5020419,Magistratsweg,12.64,19.12,54.14,niedrig,13.1566862,52.5369471
5020420,Werkstraße,4.23,5.38,10.61,hoch,13.8333917,52.4820503
5020521,Döberitzer Weg,3.37,5.08,9.35,hoch,13.1290007,52.5271396
5020522,Pillnitzer Weg,14.23,30.21,64.74,sehr niedrig,13.1562682,52.5224715
5020523,Maulbeerallee,16.55,38.73,74.01,sehr niedrig,13.1677663,52.5240088
5020524,Weinmeisterhornweg,5.12,5.69,15.51,mittel,13.1753431,52.5101272
5020625,Borkumer Straße,9.17,15.32,44.47,mittel,13.194984,52.5325392
5020626,Adamstraße,10.68,17.04,43.21,mittel,13.189567,52.521045
5020627,Tiefwerder,10.55,22.37,54.33,niedrig,13.210121586404107,52.52058065
5020628,Graetschelsteig,9.36,12.14,41.44,mittel,13.1874442,52.517429
5020629,Börnicker Straße,4.28,2.84,2.93,hoch,13.189457,52.5157303
5030730,Zitadellenweg,5.59,12.04,22.32,mittel,13.2174781,52.5378903
5030731,Gartenfelder Straße,11.64,20.51,53.72,niedrig,13.248748,52.5509828
5030832,Rohrdamm,9.13,17.6,43.55,mittel,13.262306,52.5369951
5030833,Motardstraße,2.25,3.2,5.54,hoch,13.2663045,52.5338934
5040934,Alt-Gatow,2.12,2.16,3.34,hoch,13.1837637,52.4836183
5040935,Groß-Glienicker Weg,9.32,6.94,0.0,mittel,13.1449328,52.4801593
5040936,Jägerallee,2.73,1.48,2.77,hoch,13.1214996,52.4679169
5040937,Kladower Damm,1.83,1.26,1.63,hoch,13.1441512,52.4538048
5040938,Kafkastraße,3.11,2.58,9.57,hoch,13.1277401,52.4468399
6010101,Fichtenberg,3.4,3.27,6.78,hoch,13.3100698,52.4582283
6010102,Schloßstraße,5.92,7.93,18.57,mittel,13.3250946,52.461481
6010103,Markelstraße,6.05,6.47,15.02,mittel,13.3269254,52.4632632
6010204,Munsterdamm,7.69,10.12,24.94,mittel,13.3488485,52.4589313
6010205,Südende,7.12,8.9,21.04,mittel,13.3537492,52.448279
6010206,Stadtpark,6.48,8.08,20.77,mittel,13.341972,52.4831773
6010207,Mittelstraße,6.65,8.3,21.87,mittel,13.4826251,52.5373995
6010208,Bergstraße,6.63,8.52,17.6,mittel,13.5772602,52.5719786
6010209,Feuerbachstraße,6.53,8.63,20.97,mittel,13.3326994,52.463673
6010210,Bismarckstraße,7.32,9.27,22.22,mittel,13.3052393,52.5115148
6020301,Alt-Lankwitz,7.14,9.25,18.62,mittel,13.3649641,52.4363661
6020302,Komponistenviertel Lankwitz,5.44,5.4,14.98,mittel,13.334377,52.4375558
6020303,Lankwitz Kirche,8.93,11.6,30.96,mittel,13.3454096,52.436748
